"","x"
"1",0
"2",-0.0908271925733462
"3",0.00377419832591784
"4",-0.0590095111723864
"5",-0.0332342678900481
"6",-0.109937714333377
"7",-0.0544678003649666
"8",0.0655872441012929
"9",-0.0899579428659859
"10",-0.0917893939180943
"11",-0.0584501047948949
"12",-0.0255068109714937
"13",-0.0248897464638229
"14",-0.0956497588764123
"15",0.00936863185307109
"16",0.00198381853682813
"17",-0.0691956836580723
"18",0.012287042833552
"19",-0.0288185613363417
"20",0.00187281048279064
"21",-0.0426622465697945
"22",0.0251308783826969
"23",-0.0288787045014589
"24",-0.0157347069568109
"25",-0.0440250231612277
"26",-0.0590814063727783
"27",-0.0691319721421924
"28",-0.0322470798888444
"29",-0.0189091894646113
"30",-0.0498253853483141
"31",-0.055055413150299
"32",-0.0281254817643609
"33",-0.0481549676494575
"34",-0.109927189825857
"35",-0.0439283710327836
"36",-0.177813688546275
"37",-0.0233347504599996
"38",-0.0369737023435468
"39",-0.0413013584975747
"40",-0.0772984751307663
"41",-0.0928181634549339
"42",-0.186288908777855
"43",-0.0717765234915055
"44",-0.175510044899534
"45",1.71686766469e-06
"46",-0.0806888362673722
"47",-0.0782109775844682
"48",-0.0170107017661823
"49",-0.0638931895875424
"50",-0.103173907107286
"51",0.0265694394435074
"52",0.00310687376313471
"53",-0.028330422488479
"54",-0.0438612398192334
"55",-0.0188967845387253
"56",-0.0516683618656605
"57",-0.0225584587712345
"58",-0.042727964076218
"59",-0.00229305092459065
"60",0.0124690912981158
"61",-0.105951125002099
"62",-0.0174673350294553
"63",-0.00658112593920022
"64",0.0455424092613626
"65",-0.0118030592599865
"66",0.0652292058143967
"67",-0.0816383981201063
"68",-0.120522789142873
"69",0.00146543279551991
"70",-0.0879424345952114
"71",-0.147991157645263
"72",-0.197410617220795
"73",-0.115791985976358
"74",0.0083715822065161
"75",-0.152331242003807
"76",-0.117271340233335
"77",-0.012510877628585
